id_cliente,recomendaciones
1,"[' HEBILLA_RETRACTIL', ' SILLA_PLEGABLE_SOPORTE_CEL', ' LABIALES_MARLBORITO', ' STICKERS_DARTH_VADER', ' MOCHILA_SUPERMAN']"
2,"[' STICKERS_DARTH_VADER', ' ABANICO_METALIZADO', ' KIT_UNAS', ' FUNDA_CABEZA_MARIO_BROS', ' CASE_MICKEY_IPHONE 12']"
3,"[' STICKERS_DARTH_VADER', ' ABANICO_METALIZADO', ' KIT_UNAS', ' FUNDA_CABEZA_MARIO_BROS', ' PINCELES_DOBLE_PUNTAS_FOSFORESCENTES_POKEMON_PIKACHU']"
4,"[' STICKERS_DARTH_VADER', ' KIT_UNAS', ' ABANICO_METALIZADO', ' PINCELES_DOBLE_PUNTAS_FOSFORESCENTES_POKEMON_PIKACHU', ' FUNDA_CABEZA_MARIO_BROS']"
5,"[' STICKERS_DARTH_VADER', ' KIT_UNAS', ' ABANICO_METALIZADO', ' PINCELES_DOBLE_PUNTAS_FOSFORESCENTES_POKEMON_PIKACHU', ' FUNDA_CABEZA_MARIO_BROS']"
